EBER_THE	NAMIR	JOKTAN
JOTHAM_BECAME_MIGHTY_BECAUSE	ORDERED	HIS
SOME_OF_HEADS_OF	ES	JOHANAN
HEZEKIAH	BEGAR	REIGN_WHEN
TO	LISTIR	ME
OUR_FATHERS_WERE_AND	DONE	HAVE_FORSAKEN_AND_AND
HAVE	FALLEN	THE_SWORD_AND
INSTRUMENTS	BEGAR	DAVID_KING_OF_ISRAEL’S
MOREOVER	ES	THE_JERUSALEM_THAT
EVERYONE_WHO	ENTERED	YAHWEH’S_FOR
MANY_WHY	ABUNDANT	WATER
HEZEKIAH_DECEIVE_YOU	NOW	THEREFORE
NOR	PERSUADAR	THIS
MORE_AGAINST_YAHWEH_GOD	SERVANTS	SPOKE
AND	SPOKE	HIM_AND
HAD	EXCEEDINGLY	AND
MOREOVER	PROVIDED	HERDS
WAS_EIGHT_YEARS_WHEN	BEGAR	REIGN
WHILE	WAS	YOUNG
